city_id,city,country,state_province,latitude,longitude,status,total_processing_time_seconds,vegetation_percentage_2020,high_density_percentage_2020,medium_density_percentage_2020,low_density_percentage_2020,total_pixels_2020,vegetation_pixels_2020,ndvi_mean_2020,images_processed_2020,images_found_2020,vegetation_percentage_2024,high_density_percentage_2024,medium_density_percentage_2024,low_density_percentage_2024,total_pixels_2024,vegetation_pixels_2024,ndvi_mean_2024,images_processed_2024,images_found_2024,vegetation_percentage_change,high_density_percentage_change,medium_density_percentage_change,low_density_percentage_change,output_files_count_2020,output_files_count_2024,geographic_bounds_2020,geographic_bounds_2024,error_message
5784b180-ec81-43bf-95f7-c065f05600d9,Ramallah,Palestine,Ramallah,32.01194193299886,35.13333873375795,success,37.78,39.955349682835696,1.1460693684119059,13.357663745680348,25.45161656874344,748035,298880,0.23617002367973328,1,1,29.013883040232074,0.5196280922684099,8.850521700187826,19.643733247775838,748035,217034,0.21023179590702057,1,1,-27.38,-54.66,-33.74,-22.82,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
3bb19ca9-b5c5-4c81-811d-5b84df6b48de,Gaza,Palestine,Gaza,31.458377992884923,34.30361646116135,success,82.73,25.130487517936857,3.4216726925664367,9.60620109824923,12.10261372712119,301753,75832,0.19592806696891785,1,1,9.517281571401135,0.9460327551838091,2.8109457678527674,5.760303048364559,301998,28742,0.1651124805212021,1,1,-62.13,-72.35,-70.74,-52.4,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
c7469d87-1438-4ed1-8de3-5fd6dc3cf84a,Istanbul,Turkey,İstanbul,40.9912902197443,28.9845085144043,success,170.72,49.982297399007244,20.577222028131896,16.649354851567793,12.755720519307559,426491,213170,0.46050456166267395,1,1,43.087277321422704,14.305440096938272,15.706677187099318,13.075160037385109,425838,183482,0.4131447374820709,1,1,-13.79,-30.48,-5.66,2.5,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
afc8a587-c353-428b-b948-f6d4b238455c,Manchester,United Kingdom,England,53.39806981341725,-2.3002624511718754,success,47.71,80.88197322823945,47.776041312767546,21.49849380534982,11.607438110122082,220755,178551,0.5586012601852417,1,1,80.88197322823945,47.776041312767546,21.49849380534982,11.607438110122082,220755,178551,0.5586012601852417,1,1,0.0,0.0,0.0,0.0,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
4c3ab81d-8a5d-47bf-bcd5-afa67745e718,Semarang,Indonesia,Central Java,-7.080798870741898,110.33801078796387,success,65.99,72.0460482482234,45.45017455704456,17.280648065320143,9.315225625858696,700917,504983,0.5048020482063293,1,1,68.83446208441758,42.043223114109814,17.051204895869535,9.740034074438238,707862,487253,0.47886133193969727,1,1,-4.46,-7.5,-1.33,4.56,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
80578d39-7c87-4a74-b4a2-b2cc219e66b2,Seoul,South Korea,Seoul,37.53827626759982,126.84256553649904,success,33.22,31.3441712926249,13.322759714512292,8.406026962727994,9.615384615384617,5044,1581,0.33207663893699646,1,1,54.639239076268794,32.34668705371099,12.83176664675422,9.46078537580359,323081,176529,0.3980535864830017,1,1,74.32,142.79,52.65,-1.61,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
a53d0d50-37e5-408e-9fcf-e07cb5dd412a,Sokobanja,Serbia,Zaječar,43.63398879862484,21.849317550659183,success,19.41,96.93420604133634,80.76799408258711,12.248961899754498,3.9172500589947297,724641,702425,0.7490398287773132,1,1,96.45107025409824,77.27950805985309,14.399682049456214,4.771880144788937,724641,698924,0.7158889174461365,1,1,-0.5,-4.32,17.56,21.82,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
e37f8067-d667-40ea-908e-bec4ff8ce0d8,Sultanbeyli,Turkey,İstanbul,40.97101471469436,29.21599388122559,success,23.74,55.45655176400396,22.164989956253443,18.621291916900127,14.670269890850385,484381,268621,0.4009142220020294,1,1,44.57833812639224,16.91746786104327,13.827751294951701,13.83311897039727,484381,215929,0.3467220366001129,1,1,-19.62,-23.67,-25.74,-5.71,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
70dc7a25-5f38-42b6-b9f5-fa831acefadb,Dhaka,Bangladesh,Dhaka,23.821461654422862,90.3339672088623,success,61.99,46.51833314270984,17.053518539698906,17.263147472588628,12.201667130422313,585797,272503,0.3538266122341156,1,1,46.51833314270984,17.053518539698906,17.263147472588628,12.201667130422313,585797,272503,0.3538266122341156,1,1,0.0,0.0,0.0,0.0,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
6c652a66-7b29-4fd4-8963-474066bb4834,Homa Bay,Kenya,Nyanza,-0.4991923446419592,34.47432518005372,success,55.65,98.04626889716045,66.36347834934416,27.564417802121397,4.118372745694882,471764,462547,0.6017194986343384,1,1,98.07264608830397,56.99503540952535,36.431044271511446,4.64656640726717,468518,459488,0.5847725868225098,1,1,0.03,-14.12,32.17,12.83,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
8b33044d-0788-4db9-b381-157be3e9be28,Mombasa,Kenya,,-4.073314948869001,39.690427780151374,success,82.94,70.2168761329917,32.964868395734385,26.793038493867922,10.458969243389404,394972,277337,0.4314080476760864,1,1,76.6436123089335,35.90454525726161,30.274992787534817,10.46407426413707,391683,300200,0.45509663224220276,1,1,9.15,8.92,13.0,0.05,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
